property_id,purpose,city,location,beds,baths,area_yard,price,date_added
Property_1406,Sale,Karachi,"Naya Nazimabad, Karachi",2,2,120 Sq. Yd.,2.45 Crore,
Property_1407,Sale,Karachi,"Naya Nazimabad - Block A, Naya Nazimabad",4,4,160 Sq. Yd.,2.3 Crore,
Property_1408,Sale,Karachi,"Naya Nazimabad - Block A, Naya Nazimabad",4,4,130 Sq. Yd.,4.25 Crore,
Property_1409,Sale,Karachi,"DHA Phase 6, DHA Defence",7,6,"1,000 Sq. Yd.",3.75 Crore,
Property_1410,Sale,Karachi,"North Nazimabad - Block L, North Nazimabad",6,6,233 Sq. Yd.,35 Crore,
Property_1411,Sale,Karachi,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3,3,125 Sq. Yd.,8.65 Crore,2025-04-25
Property_1412,Sale,Karachi,"Bahria Town - Precinct 8, Bahria Town Karachi",5,5,272 Sq. Yd.,91 Lakh,2025-04-25
Property_1413,Sale,Karachi,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3,3,200 Sq. Yd.,3.1 Crore,2025-04-24
Property_1414,Sale,Karachi,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,1.72 Crore,2025-04-24
Property_1415,Sale,Karachi,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4,4,120 Sq. Yd.,1.8 Crore,2025-04-24
Property_1416,Sale,Karachi,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4,5,120 Sq. Yd.,2.3 Crore,2025-04-24
Property_1417,Sale,Karachi,"North Karachi - Sector 10, North Karachi",5,5,120 Sq. Yd.,2.25 Crore,2025-04-24
Property_1418,Sale,Karachi,"DHA Phase 2 - Sunset Boulevard Commercial Area, DHA Phase 2",10,6,675 Sq. Yd.,2.85 Crore,2025-04-26
Property_1419,Sale,Karachi,"DHA Phase 7, DHA Defence",9,6,"1,000 Sq. Yd.",15 Crore,2025-04-26
Property_1420,Sale,Karachi,"DHA Phase 6, DHA Defence",4,4,250 Sq. Yd.,15 Crore,2025-04-26
Property_1421,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,500 Sq. Yd.,6 Crore,2025-04-26
Property_1422,Sale,Karachi,"DHA Phase 8, DHA Defence",4,5,106 Sq. Yd.,17 Crore,2025-04-26
Property_1423,Sale,Karachi,"DHA Phase 8, DHA Defence",4,4,100 Sq. Yd.,5.75 Crore,2025-04-26
Property_1424,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,4.5 Crore,2025-04-26
Property_1425,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,7.98 Crore,2025-04-26
Property_1426,Sale,Karachi,"Naya Nazimabad - Block C, Naya Nazimabad",3,3,240 Sq. Yd.,4.8 Crore,
Property_1427,Sale,Karachi,"DHA Phase 2, DHA Defence",5,6,775 Sq. Yd.,13.5 Crore,
Property_1428,Sale,Karachi,"North Nazimabad - Block A, North Nazimabad",6,7,600 Sq. Yd.,10.6 Crore,
Property_1429,Sale,Karachi,"PECHS Block 6, PECHS",7,6,"2,000 Sq. Yd.",65 Crore,
Property_1430,Sale,Karachi,"DHA Phase 5, DHA Defence",5,6,500 Sq. Yd.,,
Property_1431,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,"1,000 Sq. Yd.",13.5 Crore,
Property_1432,Sale,Karachi,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",6,6,240 Sq. Yd.,22 Crore,
Property_1433,Sale,Karachi,"KDA Scheme 1, Karachi",8,6,"2,000 Sq. Yd.",4.59 Crore,
Property_1434,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,500 Sq. Yd.,65 Crore,
Property_1435,Sale,Karachi,"Sector 31 - Punjabi Saudagar City Phase 2, Scheme 33 - Sector 31",4,6,120 Sq. Yd.,12.5 Crore,
Property_1436,Sale,Karachi,"Bahria Town - Precinct 4, Bahria Town Karachi",5,5,500 Sq. Yd.,2.45 Crore,2025-04-25
Property_1437,Sale,Karachi,"Bahria Town - Precinct 27, Bahria Town Karachi",3,3,125 Sq. Yd.,4 Crore,2025-04-25
Property_1438,Sale,Karachi,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",8,7,400 Sq. Yd.,78.5 Lakh,2025-04-24
Property_1439,Sale,Karachi,"Saima Elite Villas, Malir",4,3,160 Sq. Yd.,14 Crore,2025-04-24
Property_1440,Sale,Karachi,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,2.9 Crore,2025-04-24
Property_1441,Sale,Karachi,"KDA Scheme 1, Karachi",6,6,"1,008 Sq. Yd.",6.45 Crore,2025-04-24
Property_1442,Sale,Karachi,"KDA Scheme 1, Karachi",6,6,"1,000 Sq. Yd.",31 Crore,2025-04-24
Property_1443,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,32 Crore,2025-04-26
Property_1444,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,7.9 Crore,2025-04-26
Property_1445,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,7.95 Crore,2025-04-26
Property_1446,Sale,Karachi,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,8.05 Crore,2025-04-26
Property_1447,Sale,Karachi,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,6.45 Crore,2025-04-26
Property_1448,Sale,Karachi,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,6.25 Crore,2025-04-26
Property_1449,Sale,Karachi,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,6.3 Crore,2025-04-26
Property_1450,Sale,Karachi,"DOHS Phase 1, Malir Cantonment",5,6,550 Sq. Yd.,6.5 Crore,2025-04-26
Property_1451,Sale,Karachi,"Scheme 33, Karachi",3,3,120 Sq. Yd.,2.25 Crore,
Property_1452,Sale,Karachi,"Bufferzone - Sector 15-A/5, Buffer Zone",6,6,240 Sq. Yd.,6.7 Crore,
Property_1453,Sale,Karachi,"Federal B Area - Block 10, Federal B Area",8,6,400 Sq. Yd.,11.3 Crore,
Property_1454,Sale,Karachi,"Amir Khusro, Karachi",500 Sq. Yd.,,,24 Crore,
Property_1455,Sale,Karachi,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3,3,200 Sq. Yd.,,2025-04-25
Property_1456,Sale,Karachi,"DHA Phase 5, DHA Defence",6,7,800 Sq. Yd.,1.67 Crore,2025-04-25
Property_1457,Sale,Karachi,"Bahria Town - Precinct 8, Bahria Town Karachi",5,5,272 Sq. Yd.,20 Crore,2025-04-25
Property_1458,Sale,Karachi,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3,3,200 Sq. Yd.,2.9 Crore,2025-04-24
Property_1459,Sale,Karachi,"DHA Phase 8, DHA Defence",7,7,500 Sq. Yd.,1.62 Crore,2025-04-24
Property_1460,Sale,Karachi,"DHA Phase 5, DHA Defence",5,6,"1,150 Sq. Yd.",24 Crore,2025-04-24
Property_1461,Sale,Karachi,"DHA Phase 8, DHA Defence",7,7,666 Sq. Yd.,19 Crore,2025-04-24
Property_1462,Sale,Karachi,"DHA Phase 8, DHA Defence",6,6,500 Sq. Yd.,33.5 Crore,2025-04-24
Property_1463,Sale,Karachi,"KDA Scheme 1, Karachi",6,6,"1,000 Sq. Yd.",13.75 Crore,2025-04-24
Property_1464,Sale,Karachi,"KDA Scheme 1, Karachi",5,6,500 Sq. Yd.,32 Crore,2025-04-24
Property_1465,Sale,Karachi,"PECHS Block 2, PECHS",5,5,222 Sq. Yd.,20 Crore,2025-04-24
Property_1466,Sale,Karachi,"Al Hamra Society, Gulshan-e-Iqbal Town",5,6,260 Sq. Yd.,4.65 Crore,2025-04-24
Property_1467,Sale,Karachi,"PECHS Block 6, PECHS",11,7,"1,000 Sq. Yd.",12.5 Crore,2025-04-24
Property_1468,Sale,Karachi,"DOHS Phase 1, Malir Cantonment",5,6,750 Sq. Yd.,13.25 Crore,2025-04-26
Property_1469,Sale,Karachi,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,13 Crore,2025-04-26
Property_1470,Sale,Karachi,"Federal B Area - Block 12, Federal B Area",6,6,200 Sq. Yd.,6.3 Crore,2025-04-26
Property_1471,Sale,Karachi,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,6.75 Crore,2025-04-26
Property_1472,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,666 Sq. Yd.,6.35 Crore,2025-04-26
Property_1473,Sale,Karachi,"DHA Phase 7 Extension, DHA Defence",4,5,150 Sq. Yd.,16 Crore,2025-04-26
Property_1474,Sale,Karachi,"DHA Phase 8, DHA Defence",4,4,100 Sq. Yd.,8 Crore,2025-04-26
Property_1475,Sale,Karachi,"DHA Phase 6, DHA Defence",5,6,300 Sq. Yd.,4.5 Crore,2025-04-26
Property_1476,Sale,Karachi,"DHA Phase 5, DHA Defence",6,6,500 Sq. Yd.,9 Crore,2025-04-24
Property_1477,Sale,Karachi,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,6.7 Crore,2025-04-24
Property_1478,Sale,Karachi,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,8 Crore,2025-04-24
Property_1479,Sale,Karachi,"KDA Scheme 1, Karachi",6,6,"1,000 Sq. Yd.",28 Crore,2025-04-24
Property_1480,Sale,Karachi,"Navy Housing Scheme Karsaz, Karachi",5,5,350 Sq. Yd.,,2025-04-24
Property_1481,Sale,Karachi,"DHA City Karachi, Karachi",200 Sq. Yd.,,,13.5 Crore,2025-04-24
Property_1482,Sale,Karachi,"Sindh Baloch Housing Society, Gulistan-e-Jauhar",10,6,400 Sq. Yd.,3.65 Crore,2025-04-24
Property_1483,Sale,Karachi,"Gulistan-e-Jauhar - Block 8, Gulistan-e-Jauhar",5,6,125 Sq. Yd.,8.6 Crore,2025-04-24
Property_1484,Sale,Karachi,"DHA Phase 8 - Zone A, DHA Phase 8",6,7,500 Sq. Yd.,3.4 Crore,2025-04-24
Property_1485,Sale,Karachi,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",5,5,160 Sq. Yd.,12 Crore,2025-04-24
Property_1486,Sale,Karachi,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",7,6,600 Sq. Yd.,3.95 Crore,2025-04-24
Property_1487,Sale,Karachi,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",5,5,120 Sq. Yd.,8.75 Crore,2025-04-24
Property_1488,Sale,Karachi,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,3.39 Crore,2025-04-24
Property_1489,Sale,Karachi,"Gulshan-e-Maymar, Gadap Town",4,5,120 Sq. Yd.,13 Crore,2025-04-24
Property_1490,Sale,Karachi,"Falcon Complex New Malir, Malir",4,4,350 Sq. Yd.,1.9 Crore,2025-04-24
Property_1491,Sale,Karachi,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,8.35 Crore,2025-04-24
Property_1492,Sale,Karachi,"PECHS Block 6, PECHS",250 Sq. Yd.,,,3.72 Crore,2025-04-24
Property_1493,Sale,Karachi,"DHA Phase 5, DHA Defence",4,5,500 Sq. Yd.,10.9 Crore,2025-04-26
Property_1494,Sale,Karachi,"DHA Phase 7, DHA Defence",5,6,600 Sq. Yd.,10 Crore,2025-04-26
Property_1495,Sale,Karachi,"Navy Housing Scheme Karsaz, Karachi",5,5,350 Sq. Yd.,9 Crore,2025-04-26
Property_1496,Sale,Karachi,"Navy Housing Scheme Karsaz, Karachi",5,5,350 Sq. Yd.,12.4 Crore,2025-04-26
Property_1497,Sale,Karachi,"Defence View Phase 2, Defence View Society",5,6,120 Sq. Yd.,12.5 Crore,2025-04-26
Property_1498,Sale,Karachi,"Defence View Phase 2, Defence View Society",5,6,120 Sq. Yd.,2.65 Crore,2025-04-26
Property_1499,Sale,Karachi,"Defence View Society, Karachi",7,6,120 Sq. Yd.,2.85 Crore,2025-04-26
